CPU 1 YBLPVDAKDLWAPP1,User%_CPU1,Sys%_CPU1,Wait%_CPU1,Idle%_CPU1,User%_CPU2,Sys%_CPU2,Wait%_CPU2,Idle%_CPU2,User%_CPU3,Sys%_CPU3,Wait%_CPU3,Idle%_CPU3,User%_CPU4,Sys%_CPU4,Wait%_CPU4,Idle%_CPU4,User%_CPU5,Sys%_CPU5,Wait%_CPU5,Idle%_CPU5,User%_CPU6,Sys%_CPU6,Wait%_CPU6,Idle%_CPU6,User%_CPU7,Sys%_CPU7,Wait%_CPU7,Idle%_CPU7,User%_CPU8,Sys%_CPU8,Wait%_CPU8,Idle%_CPU8,User%_CPU9,Sys%_CPU9,Wait%_CPU9,Idle%_CPU9,User%_CPU10,Sys%_CPU10,Wait%_CPU10,Idle%_CPU10,User%_CPU11,Sys%_CPU11,Wait%_CPU11,Idle%_CPU11,User%_CPU12,Sys%_CPU12,Wait%_CPU12,Idle%_CPU12,User%_CPU13,Sys%_CPU13,Wait%_CPU13,Idle%_CPU13,User%_CPU14,Sys%_CPU14,Wait%_CPU14,Idle%_CPU14,User%_CPU15,Sys%_CPU15,Wait%_CPU15,Idle%_CPU15,User%_CPU16,Sys%_CPU16,Wait%_CPU16,Idle%_CPU16,User%_CPU17,Sys%_CPU17,Wait%_CPU17,Idle%_CPU17,memtotal_mem,hightotal_mem,lowtotal_mem,swaptotal_mem,memfree_mem,highfree_mem,lowfree_mem,swapfree_mem,memshared_mem,cached_mem,active_mem,bigfree_mem,buffers_mem,swapcached_mem,inactive_mem,lo-read/s_netpacket,eth1-read/s_netpacket,virbr0-read/s_netpacket,virbr0-nic-read/s_netpacket,lo-write/s_netpacket,eth1-write/s_netpacket,virbr0-write/s_netpacket,virbr0-nic-write/s_netpacket,Unnamed: 9_netpacket,lo-read-KB/s_net,eth1-read-KB/s_net,virbr0-read-KB/s_net,virbr0-nic-read-KB/s_net,lo-write-KB/s_net,eth1-write-KB/s_net,virbr0-write-KB/s_net,virbr0-nic-write-KB/s_net,Unnamed: 9_net,Runnable_proc,Blocked_proc,pswitch_proc,syscall_proc,read_proc,write_proc,fork_proc,exec_proc,sem_proc,msg_proc,/_jfsfile,/boot_jfsfile,/home_jfsfile,/opt_jfsfile,/tmp_jfsfile,/var_jfsfile,/app_jfsfile,/oraclient_jfsfile,/ctmagent_jfsfile,/Digital_Wallet_jfsfile,sr0_diskbusy,sda_diskbusy,sda1_diskbusy,sda2_diskbusy,sdb_diskbusy,sdb1_diskbusy,sdd_diskbusy,sdd1_diskbusy,sdc_diskbusy,dm-0_diskbusy,dm-1_diskbusy,dm-2_diskbusy,dm-3_diskbusy,dm-4_diskbusy,dm-5_diskbusy,dm-6_diskbusy,dm-7_diskbusy,dm-8_diskbusy,nr_dirty_vm,nr_writeback_vm,nr_unstable_vm,nr_page_table_pages_vm,nr_mapped_vm,nr_slab_vm,pgpgin_vm,pgpgout_vm,pswpin_vm,pswpout_vm,pgfree_vm,pgactivate_vm,pgdeactivate_vm,pgfault_vm,pgmajfault_vm,pginodesteal_vm,slabs_scanned_vm,kswapd_steal_vm,kswapd_inodesteal_vm,pageoutrun_vm,allocstall_vm,pgrotated_vm,pgalloc_high_vm,pgalloc_normal_vm,pgalloc_dma_vm,pgrefill_high_vm,pgrefill_normal_vm,pgrefill_dma_vm,pgsteal_high_vm,pgsteal_normal_vm,pgsteal_dma_vm,pgscan_kswapd_high_vm,pgscan_kswapd_normal_vm,pgscan_kswapd_dma_vm,pgscan_direct_high_vm,pgscan_direct_normal_vm,pgscan_direct_dma_vm,sr0_diskread,sda_diskread,sda1_diskread,sda2_diskread,sdb_diskread,sdb1_diskread,sdd_diskread,sdd1_diskread,sdc_diskread,dm-0_diskread,dm-1_diskread,dm-2_diskread,dm-3_diskread,dm-4_diskread,dm-5_diskread,dm-6_diskread,dm-7_diskread,dm-8_diskread,sr0_diskxfer,sda_diskxfer,sda1_diskxfer,sda2_diskxfer,sdb_diskxfer,sdb1_diskxfer,sdd_diskxfer,sdd1_diskxfer,sdc_diskxfer,dm-0_diskxfer,dm-1_diskxfer,dm-2_diskxfer,dm-3_diskxfer,dm-4_diskxfer,dm-5_diskxfer,dm-6_diskxfer,dm-7_diskxfer,dm-8_diskxfer,sr0_diskwrite,sda_diskwrite,sda1_diskwrite,sda2_diskwrite,sdb_diskwrite,sdb1_diskwrite,sdd_diskwrite,sdd1_diskwrite,sdc_diskwrite,dm-0_diskwrite,dm-1_diskwrite,dm-2_diskwrite,dm-3_diskwrite,dm-4_diskwrite,dm-5_diskwrite,dm-6_diskwrite,dm-7_diskwrite,dm-8_diskwrite,sr0_diskbsize,sda_diskbsize,sda1_diskbsize,sda2_diskbsize,sdb_diskbsize,sdb1_diskbsize,sdd_diskbsize,sdd1_diskbsize,sdc_diskbsize,dm-0_diskbsize,dm-1_diskbsize,dm-2_diskbsize,dm-3_diskbsize,dm-4_diskbsize,dm-5_diskbsize,dm-6_diskbsize,dm-7_diskbsize,dm-8_diskbsize
2019-01-05 00:00:02,3.4,2.5,0.0,94.1,4.2,3.4,2.5,89.9,9.2,4.2,0.0,86.6,2.5,4.2,0.0,93.3,3.3,4.1,0.0,92.6,1.7,3.3,0.8,94.2,1.7,4.1,0.0,94.2,80.0,19.2,0.8,0.0,1.7,2.5,0.8,95.0,79.0,21.0,0.0,0.0,0.8,4.2,0.0,95.0,20.8,1.7,0.0,77.5,77.5,22.5,0.0,0.0,0.8,0.8,0.0,98.4,0.0,0.8,0.0,99.2,0.8,0.0,0.0,99.2,18.0,6.1,0.4,75.6,32105.2,-0.0,-0.0,6144.0,17652.7,-0.0,-0.0,5992.5,-0.0,4590.8,9220.6,-1.0,850.2,34.6,2966.1,3.2,127.2,0.0,0.0,3.2,108.5,0.0,0.0,,0.2,32.6,0.0,0.0,0.2,22.5,0.0,0.0,,5,0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.3,62.9,49.0,40.1,9.1,5.2,0.0,6.5,0.0,4.9,0.8,0.8,0.8,0.0,0.8,1.6,0.8,0.0,0.0,0.8,0.0,1.6,0.8,0.8,216,0,0,10381,20119,-1,432,4,0,0,33538,47,0,105861,0,0,0,0,0,0,0,0,0,40844,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,213.8,0.0,175.0,45.4,3.2,45.4,3.2,45.4,113.4,29.2,3.2,3.2,3.2,3.2,19.4,3.2,3.2,0.0,22.7,0.0,21.1,3.2,0.8,3.2,0.8,3.2,10.5,7.3,0.8,0.8,0.8,0.8,5.7,0.8,0.8,0.0,3.2,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,9.6,0.0,8.5,14.0,4.0,14.0,4.0,14.0,10.8,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2019-01-05 00:10:02,6.3,6.8,0.0,87.0,4.6,3.9,0.0,91.5,3.1,2.1,0.0,94.9,1.9,1.7,0.0,96.4,1.2,1.2,0.0,97.7,3.8,1.6,0.0,94.6,0.6,0.5,0.0,98.9,9.1,2.2,0.1,88.6,1.1,0.5,0.0,98.4,7.5,0.8,0.0,91.7,6.8,1.0,0.0,92.3,14.4,0.8,0.0,84.8,9.8,1.1,0.0,89.2,8.6,0.7,0.0,90.7,8.9,0.9,0.0,90.3,5.7,0.7,0.0,93.5,5.8,1.6,0.0,92.5,32105.2,-0.0,-0.0,6144.0,20334.3,-0.0,-0.0,5992.5,-0.0,2523.6,6820.6,-1.0,852.6,34.6,2704.0,14.2,144.0,0.0,0.0,14.2,139.9,0.0,0.0,,3.5,44.7,0.0,0.0,3.5,38.1,0.0,0.0,,1,0,4714.9,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.3,62.9,48.2,40.1,9.1,5.2,0.0,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,119,0,0,9527,19730,-1,3316,368652,0,0,4975914,155388,0,4727824,1,0,0,0,0,0,0,0,0,4289325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.2,0.0,5.2,0.1,0.1,0.1,0.1,0.0,5.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3.9,0.0,3.9,2.3,2.3,0.8,0.8,0.0,3.4,0.0,1.9,0.0,142.5,0.0,3.2,1.9,1.1,0.0,36.9,0.0,36.9,570.0,570.0,7.5,7.5,0.0,12.0,0.0,7.5,0.0,570.0,0.1,12.9,7.5,4.3,0.0,10.7,0.0,10.7,243.5,243.5,9.8,9.8,4.0,5.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
2019-01-05 00:20:02,2.7,3.5,0.0,93.8,2.0,2.7,0.0,95.3,1.0,1.5,0.0,97.5,1.5,1.4,0.0,97.1,0.5,0.7,0.0,98.8,1.4,0.7,0.0,97.9,0.2,0.3,0.0,99.4,0.2,0.3,0.1,99.4,1.9,0.7,0.0,97.4,0.9,0.4,0.0,98.6,0.6,0.1,0.0,99.2,15.1,0.5,0.0,84.3,0.5,0.6,0.0,98.9,0.3,0.2,0.0,99.5,3.4,0.2,0.0,96.4,3.4,0.3,0.0,96.4,2.2,0.9,0.0,96.9,32105.2,-0.0,-0.0,6144.0,20291.5,-0.0,-0.0,5992.5,-0.0,2529.8,6859.6,-1.0,854.2,34.6,2708.2,14.3,77.2,0.0,0.0,14.3,74.2,0.0,0.0,,3.6,21.8,0.0,0.0,3.6,23.1,0.0,0.0,,3,0,4535.7,-1.0,-1.0,-1.0,3.6,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.3,62.9,48.2,40.1,9.1,5.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,159,0,0,9715,20040,-1,132,22148,0,0,1565491,1110,0,1339507,0,0,0,0,0,0,0,0,0,1576825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,0.6,0.6,0.3,0.3,0.0,0.4,0.0,0.7,0.0,3.3,0.0,2.6,1.8,0.5,0.0,21.1,0.0,21.1,13.0,13.0,2.8,2.8,0.0,1.5,0.0,2.8,0.0,13.0,0.2,10.2,7.2,1.9,0.0,7.4,0.0,7.4,21.6,21.6,8.5,8.5,4.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
2019-01-05 00:30:02,2.1,3.0,0.0,95.0,1.6,2.6,0.0,95.8,0.9,1.3,0.0,97.8,0.8,1.1,0.0,98.1,0.4,0.6,0.0,99.1,2.1,0.9,0.0,97.0,0.2,0.3,0.0,99.4,0.4,0.4,0.1,99.2,2.1,0.3,0.0,97.6,0.4,0.2,0.0,99.4,0.6,0.2,0.0,99.2,10.8,0.3,0.0,88.9,1.8,1.3,0.0,96.8,0.3,0.2,0.0,99.6,3.3,0.2,0.0,96.5,0.8,0.2,0.0,99.1,1.8,0.8,0.0,97.4,32105.2,-0.0,-0.0,6144.0,20191.7,-0.0,-0.0,5992.5,-0.0,2535.4,6948.4,-1.0,855.6,34.6,2713.0,14.0,64.1,0.0,0.0,14.0,62.5,0.0,0.0,,3.4,16.6,0.0,0.0,3.4,17.7,0.0,0.0,,6,0,4459.2,-1.0,-1.0,-1.0,3.1,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.3,62.9,48.2,40.1,9.1,5.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,120,1,0,10533,20041,-1,128,21112,0,0,1488854,770,0,1280775,1,0,0,0,0,0,0,0,0,1514415,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.8,0.6,0.6,0.4,0.4,0.0,0.3,0.0,0.7,0.0,3.0,0.0,2.4,1.9,0.4,0.0,20.2,0.0,20.2,12.1,12.1,2.9,2.9,0.0,1.4,0.0,2.9,0.0,12.1,0.0,9.6,7.4,1.8,0.0,7.1,0.0,7.1,21.0,21.0,7.8,7.8,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
2019-01-05 00:40:02,2.9,3.5,0.0,93.6,1.9,2.9,0.0,95.2,1.3,2.4,0.0,96.3,0.8,1.3,0.0,97.9,0.5,0.7,0.0,98.8,0.5,0.4,0.0,99.1,0.3,0.3,0.0,99.4,1.7,0.7,0.1,97.5,1.0,0.5,0.0,98.6,2.5,0.5,0.0,97.0,1.3,0.4,0.0,98.3,9.8,0.3,0.0,89.8,1.7,0.2,0.0,98.1,1.9,0.3,0.0,97.9,2.3,0.2,0.0,97.5,2.0,0.2,0.0,97.8,2.0,0.9,0.0,97.1,32105.2,-0.0,-0.0,6144.0,20297.4,-0.0,-0.0,5992.5,-0.0,2542.8,6844.6,-1.0,857.1,34.6,2719.2,14.0,64.1,0.0,0.0,14.0,60.7,0.0,0.0,,3.5,18.8,0.0,0.0,3.5,17.8,0.0,0.0,,1,0,4495.0,-1.0,-1.0,-1.0,2.9,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.4,62.9,48.2,40.1,9.1,5.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,128,0,0,9422,19563,-1,172,23660,0,0,1731622,1412,0,1329495,0,0,0,0,0,0,0,0,0,1704411,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,0.6,0.6,0.4,0.4,0.0,0.3,0.0,0.7,0.0,3.2,0.0,2.5,1.8,1.3,0.0,23.8,0.0,23.8,12.9,12.9,2.7,2.7,0.0,1.4,0.0,2.7,0.0,12.9,0.0,10.2,7.3,5.0,0.0,8.2,0.0,8.2,22.5,22.5,7.5,7.5,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
2019-01-05 00:50:02,2.4,3.3,0.0,94.3,1.9,3.0,0.0,95.1,1.3,2.7,0.0,96.0,1.0,1.4,0.0,97.5,0.4,0.7,0.0,98.9,0.5,0.4,0.0,99.1,0.6,0.4,0.0,99.0,0.9,0.5,0.1,98.6,0.3,0.2,0.0,99.5,0.2,0.2,0.0,99.6,0.4,0.1,0.0,99.5,11.4,0.3,0.0,88.3,0.2,0.1,0.0,99.6,0.3,0.2,0.0,99.5,4.2,0.2,0.0,95.5,0.9,0.2,0.0,98.9,1.7,0.9,0.0,97.4,32105.2,-0.0,-0.0,6144.0,20286.7,-0.0,-0.0,5992.5,-0.0,2547.9,6850.8,-1.0,858.5,34.6,2723.3,14.1,60.3,0.0,0.0,14.1,57.4,0.0,0.0,,3.5,15.9,0.0,0.0,3.5,17.2,0.0,0.0,,1,0,4435.9,-1.0,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.4,62.9,48.2,40.1,9.1,5.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,107,0,0,9395,19638,-1,112,20216,0,0,1478820,761,0,1175436,0,0,0,0,0,0,0,0,0,1481581,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,2.9,0.6,0.6,0.2,0.2,0.0,0.4,0.0,0.4,0.0,2.8,0.0,2.5,1.8,0.5,0.0,20.8,0.0,20.8,11.1,11.1,1.8,1.8,0.0,1.5,0.0,1.8,0.0,11.1,0.0,10.1,7.4,1.9,0.0,7.3,0.0,7.3,20.0,20.0,8.1,8.1,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
2019-01-05 01:00:02,2.0,2.9,0.0,95.1,1.6,2.9,0.0,95.5,1.0,1.8,0.0,97.2,0.7,1.3,0.0,98.0,0.4,0.7,0.0,99.0,0.4,0.4,0.0,99.1,0.3,0.3,0.0,99.4,0.1,0.2,0.1,99.6,0.4,0.2,0.0,99.4,0.3,0.2,0.0,99.5,0.3,0.1,0.0,99.6,8.9,0.3,0.0,90.8,0.4,0.8,0.0,98.8,0.2,0.2,0.0,99.6,2.0,0.1,0.0,97.8,0.5,0.2,0.0,99.3,1.2,0.8,0.0,98.0,32105.2,-0.0,-0.0,6144.0,20211.5,-0.0,-0.0,5992.5,-0.0,2551.8,6919.9,-1.0,860.0,34.6,2726.7,14.9,46.8,0.0,0.0,14.9,44.3,0.0,0.0,,3.7,11.5,0.0,0.0,3.7,13.2,0.0,0.0,,3,0,4440.3,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.4,62.9,48.2,40.1,9.1,5.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,110,7,0,9907,20001,-1,232,18340,0,0,1354681,703,0,1058865,0,0,0,0,0,0,0,0,0,1374219,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.8,0.5,0.5,0.2,0.2,0.0,0.4,0.0,0.4,0.0,2.2,0.0,2.4,1.8,0.5,0.0,20.5,0.0,20.5,8.7,8.7,1.4,1.4,0.0,1.8,0.0,1.4,0.0,8.7,0.0,9.7,7.2,1.8,0.0,7.2,0.0,7.2,16.8,16.8,8.8,8.8,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
2019-01-05 01:10:02,1.9,2.9,0.0,95.2,1.4,2.2,0.0,96.4,0.8,1.2,0.0,98.0,0.6,1.1,0.0,98.3,0.3,0.5,0.0,99.2,1.1,0.5,0.0,98.4,0.2,0.2,0.0,99.5,0.1,0.2,0.1,99.6,0.8,0.4,0.0,98.8,0.8,0.4,0.0,98.8,1.6,0.2,0.0,98.2,7.6,0.2,0.0,92.2,0.3,0.5,0.0,99.2,0.2,0.1,0.0,99.7,2.8,0.1,0.0,97.1,4.2,0.3,0.0,95.4,1.5,0.7,0.0,97.8,32105.2,-0.0,-0.0,6144.0,20256.1,-0.0,-0.0,5992.5,-0.0,2556.7,6873.2,-1.0,861.5,34.6,2731.5,13.7,60.3,0.0,0.0,13.7,56.7,0.0,0.0,,3.4,16.5,0.0,0.0,3.4,15.7,0.0,0.0,,1,0,4401.8,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.3,62.9,48.2,40.1,9.1,5.2,0.0,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,131,0,0,9401,19652,-1,108,21148,0,0,1500075,723,0,1183545,0,0,0,0,0,0,0,0,0,1488248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.8,0.5,0.5,0.4,0.4,0.0,0.4,0.0,0.6,0.0,3.0,0.0,2.5,1.8,0.5,0.0,20.7,0.0,20.7,12.1,12.1,2.4,2.4,0.0,1.6,0.0,2.4,0.0,12.1,0.0,10.2,7.0,1.9,0.0,7.3,0.0,7.3,22.2,22.2,7.0,7.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
2019-01-05 01:20:02,1.9,2.7,0.0,95.4,1.5,2.1,0.0,96.4,1.0,1.2,0.0,97.8,0.9,1.7,0.0,97.4,0.8,2.0,0.0,97.2,1.2,0.6,0.0,98.2,0.3,0.2,0.0,99.5,0.1,0.2,0.1,99.6,0.2,0.2,0.0,99.6,0.2,0.2,0.0,99.6,0.3,0.1,0.0,99.6,2.7,0.1,0.0,97.2,3.1,0.4,0.0,96.5,0.2,0.1,0.0,99.7,3.4,0.2,0.0,96.4,1.6,0.2,0.0,98.2,1.2,0.8,0.0,98.0,32105.2,-0.0,-0.0,6144.0,19860.7,-0.0,-0.0,5992.5,-0.0,2560.3,7263.7,-1.0,862.8,34.6,2734.5,14.3,39.7,0.0,0.0,14.3,35.7,0.0,0.0,,3.6,9.6,0.0,0.0,3.6,11.8,0.0,0.0,,1,0,4327.5,-1.0,-1.0,-1.0,2.5,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.3,62.9,48.2,40.1,9.1,5.2,0.0,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,124,0,0,9974,21881,-1,108,18616,0,0,1410578,745,0,1184144,0,0,0,0,0,0,0,0,0,1511832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,2.7,0.5,0.5,0.2,0.2,0.0,0.4,0.0,0.4,0.0,2.1,0.0,2.4,1.7,0.7,0.0,20.9,0.0,20.9,8.4,8.4,1.7,1.7,0.0,1.5,0.0,1.7,0.0,8.4,0.0,9.7,7.0,2.7,0.0,7.6,0.0,7.6,15.6,15.6,7.3,7.3,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
2019-01-05 01:30:02,2.9,4.0,0.0,93.2,1.8,2.6,0.0,95.7,1.2,1.9,0.0,97.0,1.0,1.2,0.0,97.8,0.7,0.9,0.0,98.4,0.9,1.2,0.0,98.0,0.4,0.3,0.0,99.3,0.4,0.6,0.0,98.9,0.4,0.3,0.0,99.3,0.3,0.2,0.0,99.5,0.5,0.2,0.0,99.3,3.2,0.2,0.0,96.6,0.2,0.1,0.0,99.7,0.3,0.2,0.0,99.5,4.4,0.3,0.0,95.3,1.2,0.1,0.0,98.6,1.2,0.9,0.0,97.9,32105.2,-0.0,-0.0,6144.0,19837.2,-0.0,-0.0,5992.5,-0.0,2566.9,7278.4,-1.0,864.2,34.6,2740.0,13.9,37.8,0.0,0.0,13.9,34.1,0.0,0.0,,3.4,10.3,0.0,0.0,3.4,11.6,0.0,0.0,,3,0,4387.8,-1.0,-1.0,-1.0,2.7,-1.0,-1.0,-1.0,45.9,55.6,63.2,23.7,0.4,62.9,48.2,40.1,9.1,5.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,107,1,0,10378,22128,-1,112,20716,0,0,1568875,1292,0,1244097,0,0,0,0,0,0,0,0,0,1574923,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,2.8,0.5,0.5,0.1,0.1,0.0,0.4,0.0,0.3,0.0,2.4,0.0,2.4,1.8,1.4,0.0,23.9,0.0,23.9,9.6,9.6,1.1,1.1,0.0,1.6,0.0,1.1,0.0,9.6,0.0,9.5,7.2,5.5,0.0,8.4,0.0,8.4,18.5,18.5,7.8,7.8,4.0,4.0,0.0,4.0,0.0,4.0,0.0,4.0,4.0,4.0
